note_id,x,y,cluster
188354,-0.47043094,4.3434463,-1
31714,-1.4492421,4.351897,-1
84369,1.9483908,-2.0856287,0
10574,-2.3618546,-0.6808991,-1
195263,-5.3743663,0.018305058,3
193431,-5.3432884,0.10370599,3
161032,-4.328258,3.2644165,-1
138123,1.9313097,-2.0095,0
56398,-1.0041387,0.73459315,-1
90914,-4.5524325,-0.9049575,2
41088,-3.1601343,-1.2099639,2
26469,-3.2663715,-0.6835504,-1
106717,1.3771669,-1.2018424,0
89059,-1.1119812,2.4236736,-1
85591,2.0521677,-1.9245284,0
65128,-1.020086,4.060579,-1
68373,-5.1698704,0.15430893,-1
167214,-4.8287106,4.416068,-1
107066,-3.9182527,3.150038,-1
202271,-3.2752943,4.141781,-1
44597,-2.3396752,0.80430657,-1
131996,0.26952845,2.4001486,1
147466,-3.7321622,3.349198,-1
201590,1.6258593,-1.8452221,-1
1147,-2.2251182,1.6740805,-1
94657,-1.8168403,3.8102763,-1
186374,-2.965084,2.6534026,-1
78159,-1.3421035,1.5316468,-1
175437,-1.9636227,-0.08351439,-1
164754,-1.9509792,-1.7568823,-1
70121,-1.4064401,-1.1666212,-1
139197,-3.2010171,4.180522,-1
31394,-2.2793853,-3.098674,4
56397,0.115161784,0.9571975,-1
193625,-3.1237566,4.236555,-1
26486,3.8410645,6.716537,1
90953,0.20709708,2.475423,1
69197,-3.5489671,-1.0245128,2
35288,-2.3175733,-3.3907828,-1
198376,-0.6420806,-0.25237417,-1
174217,-4.387743,-0.74097943,-1
74160,0.69704103,1.7721618,-1
46074,-5.1881824,4.7669616,5
10677,-3.8945484,2.76216,4
172104,-0.74131566,0.6957579,-1
89497,-4.596679,-1.0938902,-1
128371,1.9876015,-2.0565217,0
9530,-1.352144,-1.2636826,4
143706,1.1120689,-0.37370902,-1
36169,-3.2860103,0.48655266,-1
149260,-1.5378224,2.7640653,-1
182462,-4.065023,-2.5275233,-1
35342,-1.1603209,-1.5374254,4
181572,-4.544663,-1.0239024,2
131997,-5.315108,-0.08510938,3
91879,-2.0637894,0.0013743273,-1
133504,1.7535869,-1.8605211,0
91574,3.7768784,6.5606966,1
110494,-3.102486,-1.2439128,-1
115761,-1.2350521,0.05236798,-1
32352,-4.994809,4.5848837,4
97900,1.8014301,-2.030656,-1
107439,0.012687875,-0.16626175,-1
13363,-2.304109,-3.3731778,4
100912,0.4995222,1.3433838,-1
70441,1.2779149,-1.732822,-1
77391,-2.0650523,-0.07569618,-1
20222,-0.7863626,-1.5085185,-1
157869,-0.4833613,1.8700497,-1
54279,-4.1116214,0.7720951,-1
188061,-4.3826056,-0.24852408,-1
8469,-3.1556349,4.225099,-1
109326,1.5792959,-1.7569715,0
68493,-2.010303,1.2356871,-1
116623,-4.7698703,4.3188205,4
124371,-4.0676036,3.438627,4
179442,-0.2971571,0.47394663,-1
32818,0.15448426,0.31169987,-1
96095,-0.013718763,2.7898927,1
16802,-4.366012,-0.8259782,2
186993,-4.9288573,-0.5878514,-1
172964,-2.4682996,-0.5946194,-1
19827,2.003593,-1.619184,-1
78570,-3.8482952,2.7959814,-1
164896,-1.2044356,0.14303143,-1
124296,-0.4040873,0.3585856,-1
28713,-1.2912369,2.2106586,-1
79512,-2.0069919,-2.3362992,4
56718,2.0177436,-1.748937,-1
42596,-2.9692745,-1.0664551,-1
171829,0.51210064,1.714607,-1
70567,-4.2686496,-0.09895317,-1
177172,-2.9426847,3.4772334,-1
30607,1.9723501,-2.0861588,0
9528,-1.6302472,3.4473681,-1
116030,-5.202367,4.796474,5
62687,0.2524101,0.3105205,1
60820,-1.2096088,1.4355597,-1
47590,-3.6412346,2.4489198,-1
60912,0.0442379,-0.9821793,-1
42885,-0.24339415,2.3189178,-1
164276,-2.2968838,-1.6148102,-1
135684,0.38411975,0.2404011,1
77312,-1.4842942,3.104136,-1
